c0_ddr4_act_n,E13
c0_ddr4_adr[0],D14
c0_ddr4_adr[10],C12
c0_ddr4_adr[11],B13
c0_ddr4_adr[12],C13
c0_ddr4_adr[13],D15
c0_ddr4_adr[14],H14
c0_ddr4_adr[15],H15
c0_ddr4_adr[16],F15
c0_ddr4_adr[1],B15
c0_ddr4_adr[2],B16
c0_ddr4_adr[3],C14
c0_ddr4_adr[4],C15
c0_ddr4_adr[5],A13
c0_ddr4_adr[6],A14
c0_ddr4_adr[7],A15
c0_ddr4_adr[8],A16
c0_ddr4_adr[9],B12
c0_ddr4_ba[0],G15
c0_ddr4_ba[1],G13
c0_ddr4_bg[0],H13
c0_ddr4_ck_c[0],E14
c0_ddr4_ck_t[0],F14
c0_ddr4_cke[0],A10
c0_ddr4_cs_n[0],F13
c0_ddr4_dm_dbi_n[0],G11
c0_ddr4_dm_dbi_n[1],R18
c0_ddr4_dm_dbi_n[2],K17
c0_ddr4_dm_dbi_n[3],G18
c0_ddr4_dm_dbi_n[4],B18
c0_ddr4_dm_dbi_n[5],P20
c0_ddr4_dm_dbi_n[6],L23
c0_ddr4_dm_dbi_n[7],G22
c0_ddr4_dq[0],F11
c0_ddr4_dq[10],M18
c0_ddr4_dq[11],M17
c0_ddr4_dq[12],N19
c0_ddr4_dq[13],N18
c0_ddr4_dq[14],N17
c0_ddr4_dq[15],M16
c0_ddr4_dq[16],L16
c0_ddr4_dq[17],K16
c0_ddr4_dq[18],L18
c0_ddr4_dq[19],K18
c0_ddr4_dq[1],E11
c0_ddr4_dq[20],J17
c0_ddr4_dq[21],H17
c0_ddr4_dq[22],H19
c0_ddr4_dq[23],H18
c0_ddr4_dq[24],F19
c0_ddr4_dq[25],F18
c0_ddr4_dq[26],E19
c0_ddr4_dq[27],E18
c0_ddr4_dq[28],G20
c0_ddr4_dq[29],F20
c0_ddr4_dq[2],F10
c0_ddr4_dq[30],E17
c0_ddr4_dq[31],D16
c0_ddr4_dq[32],D17
c0_ddr4_dq[33],C17
c0_ddr4_dq[34],C19
c0_ddr4_dq[35],C18
c0_ddr4_dq[36],D20
c0_ddr4_dq[37],D19
c0_ddr4_dq[38],C20
c0_ddr4_dq[39],B20
c0_ddr4_dq[3],F9
c0_ddr4_dq[40],N23
c0_ddr4_dq[41],M23
c0_ddr4_dq[42],R21
c0_ddr4_dq[43],P21
c0_ddr4_dq[44],R22
c0_ddr4_dq[45],P22
c0_ddr4_dq[46],T23
c0_ddr4_dq[47],R23
c0_ddr4_dq[48],K24
c0_ddr4_dq[49],J24
c0_ddr4_dq[4],H12
c0_ddr4_dq[50],M21
c0_ddr4_dq[51],L21
c0_ddr4_dq[52],K21
c0_ddr4_dq[53],J21
c0_ddr4_dq[54],K22
c0_ddr4_dq[55],J22
c0_ddr4_dq[56],H23
c0_ddr4_dq[57],H22
c0_ddr4_dq[58],E23
c0_ddr4_dq[59],E22
c0_ddr4_dq[5],G12
c0_ddr4_dq[60],F21
c0_ddr4_dq[61],E21
c0_ddr4_dq[62],F24
c0_ddr4_dq[63],F23
c0_ddr4_dq[6],E9
c0_ddr4_dq[7],D9
c0_ddr4_dq[8],R19
c0_ddr4_dq[9],P19
c0_ddr4_dqs_c[0],D10
c0_ddr4_dqs_c[1],P16
c0_ddr4_dqs_c[2],J19
c0_ddr4_dqs_c[3],E16
c0_ddr4_dqs_c[4],A18
c0_ddr4_dqs_c[5],M22
c0_ddr4_dqs_c[6],L20
c0_ddr4_dqs_c[7],G23
c0_ddr4_dqs_t[0],D11
c0_ddr4_dqs_t[1],P17
c0_ddr4_dqs_t[2],K19
c0_ddr4_dqs_t[3],F16
c0_ddr4_dqs_t[4],A19
c0_ddr4_dqs_t[5],N22
c0_ddr4_dqs_t[6],M20
c0_ddr4_dqs_t[7],H24
c0_ddr4_odt[0],C8
c0_ddr4_reset_n,N20
c0_sys_clk_n,D12
c0_sys_clk_p,E12
